sep=;
Change-Id=Id25dc4eb939390de0750cbb1ba77214f30df3440; subject=Initial commit; feature=rebase; upstream_status=ignore; general=;
Change-Id=I46cd6faddc01a95c19b22951676d072666c1d2cd; subject=Update ofed_scripts/checkout_files; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I17f1cd53ffe454b7a8fbc869de0547458e3a8fe9; subject=Set base code to Linux v5.2-rc4; feature=rebase; upstream_status=ignore; general=;
Change-Id=I78da6e73d0e64cb4333183acf7fb2a548a60729e; subject=Add dummy modules and standalone packages; feature=rebase; upstream_status=ignore; general=;
Change-Id=Ifa6e0cbd6fe0c838c2c51f0757455e48b60a272b; subject=configure: Add Remove unwanted o files from Makefile; feature=rebase; upstream_status=NA; general=;
Change-Id=I6abec53734926bab6c3c3bd5a5928e4a73de311a; subject=compat: fix tc_mirred and unknown symbol in blk-mq-rdma; feature=rebase; upstream_status=NA; general=;
Change-Id=Iaa4dade21518d0f640d2a3e43001443c69e54620; subject=rxe: block user space libs access kernel in.h in6.h headers; feature=rdma_rxe_bugs; upstream_status=NA; general=;
Change-Id=I8a1458d013a7698c7c564f8f909c63afde6d08a7; subject=IB/ipoib: remark get_settings from ethtool_ops; feature=ipoib_ethtool_speed_support; upstream_status=NA; general=;
Change-Id=I9b5ac6e412b2802009fed3e6aa0c58df8001fb45; subject=net/mlx5e: Add support for XDP TX HW checksum offload; feature=checksum_offload; upstream_status=in_progress; general=;
Change-Id=I9ab4bd60fcd5f246c15e851ce2a0d63537be4d53; subject=net/mlx5: Fix number of max channels in mlx5e_grp_channels_fill_[strings,stats]; feature=mlx5e_counter_groups; upstream_status=NA; general=;
Change-Id=Ib4eeeba180d7bcd5471710a5022f43a0ff5451a5; subject=IB/mlx5: Replace non-supported function clear_thread_tidr; feature=mlx5_ib_bugs; upstream_status=NA; general=;
Change-Id=Ic3a73152e4b972b0bc1a17f4e30810c76efd7d26; subject=mlx5/IB: set default value for gid_type; feature=ib_core_bugs; upstream_status=NA; general=;
Change-Id=Ic1cd714b12ce810807596ee6039582332565233d; subject=Fix UAR mapping; feature=dynamic_uar; upstream_status=NA; general=;
Change-Id=Ic8516a9ebb46d9e4fbd3503a8489f8aae304c80c; subject=mlx4: Add crdump sysfile support; feature=mlx4_crdump; upstream_status=NA; general=;
Change-Id=I5bc39217d1875c16452fd81820b797196c10611e; subject=mlx4: Prevent delete crdump proc dir when removing vf; feature=mlx4_crdump; upstream_status=NA; general=;
Change-Id=I91af57b9e543f42ba91dea01357583e80aadc46e; subject=net/mlx4_core: Crdump, skip dump collect when dump collected; feature=mlx4_crdump; upstream_status=NA; general=;
Change-Id=Iefb688114662e58a34ea082f1d73f526ce7bd34d; subject=net/mlx4_core: Crdump, fix remove in vf mode and devlink backports; feature=mlx4_crdump; upstream_status=NA; general=;
Change-Id=I61c418452a0017d77fa663258d9cbfa349082c73; subject=IB/mlx4: use ib_device name if provided; feature=mlx4_dev_assign_str; upstream_status=NA; general=;
Change-Id=Ia9e6f31b56565379f6ecae981236d85a67ae0875; subject=Warnings fix - to be squashed later; feature=ib_core_bugs; upstream_status=NA; general=;
Change-Id=I9c0c6fad3b975c5e56e420ce02a2bc4385251f80; subject=net/sched: Add latest cls_flower.c from OFED 4.6; feature=mlx5_asap; upstream_status=NA; general=;
Change-Id=I51f8e91747200d1963821aa097aa3cb56dc95837; subject=mlx4: Add missing header file; feature=mlx4_core_bugs; upstream_status=NA; general=;
Change-Id=I1a7fca3e5ab21e227f2db42d744d90e1417d0e05; subject=REBASE_FIX:Fix restart load mlx5 message; feature=mlx5_core_bugs; upstream_status=NA; general=;
Change-Id=I47c6599075b61b06adc09ebc6a54a15cbb3db145; subject=REBASE: INITIAL METADATA; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=Icfec035c78b5a028ab27f1a625da18a2d81b692e; subject=TO SQUASH LATER: Update MD; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I2451a08e86f5f85867c435c59c35945d91ce6bd0; subject=metadata: Update metadata ofed_scripts_4_6_4; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I80dd4d1aa105a1a54b2562b0a35d01847d64fb04; subject=metadata: update metadata Markb; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=Ie594ae4dd00c1d7a70268892d17a21948ca1119d; subject=fixes: remove atomic_t call; feature=mlx5e_st_ct; upstream_status=NA; general=;
